34493a23-2b64-4d07-9a55-171401a6cd98 | （一）乙方向甲方支付 | ['702071', '柒拾万贰仟零柒拾壹'] | 不一致 | '柒拾万零贰仟零柒拾壹'
6fcfa4ec-7351-4b57-b134-86e3ac35df5a | [2]有义务承担委托 | ['285000', '千分'] | 不一致 | '贰拾捌万伍仟'
24d4ddc3-238e-4ffa-b286-512bc86b5fba | [2]有义务承担委托 | ['285000', '千分'] | 不一致 | '贰拾捌万伍仟'
dd4b476c-340d-4286-ba90-a35835c3eb26 | [2]有义务承担委托 | ['84000', '千分'] | 不一致 | '捌万肆仟'
51285d41-242a-41b1-9a23-a922532136e2 | [2]有义务承担委托 | ['36000', '千分'] | 不一致 | '叁万陆仟'
8440b161-35b0-4a87-a032-094bf9ea2f69 | [2]有义务承担委托 | ['36000', '千分'] | 不一致 | '叁万陆仟'
8d059047-4453-4616-ab0f-a0f44a8ad765 | （一）乙方向甲方支付 | ['101910', '壹拾万壹仟玖佰壹拾'] | 不一致 | '壹拾万零壹仟玖佰壹拾'
1300a198-7c82-4f8a-a9db-08c0e4876eec | [3]有义务自本协议 | ['500', '伍万'] | 不一致 | '伍佰'
c8f29741-fd06-4361-821a-8d66c9dee4a9 | [3]有义务自本协议 | ['500', '伍万'] | 不一致 | '伍佰'
1186a633-47bd-409d-ad4b-806e3809951e | [3]有义务自本协议 | ['500', '伍万'] | 不一致 | '伍佰'
e3ca2c0c-2b48-4dd6-b9bb-ff62bb48ab2b | 违约金赔付标准如下： | ['2万', '万'], ['5万', '万'] | 不一致 | '贰万', '伍万'
8078c056-9ba7-43a8-9565-ce36c4457f6d | 违约金赔付标准如下： | ['2万', '万'], ['5万', '万'] | 不一致 | '贰万', '伍万'
471dc0dc-107e-430f-90a9-5b81991afec1 | 违约金赔付标准如下： | ['2万', '万'], ['5万', '万'] | 不一致 | '贰万', '伍万'
9264808c-250b-42a1-a997-f0059aaacc41 | 违约金赔付标准如下： | ['2万', '万'], ['5万', '万'] | 不一致 | '贰万', '伍万'
8094bf1c-d4be-4e20-ad42-5ab65b6c200d | 违约金赔付标准如下： | ['2万', '万'], ['5万', '万'] | 不一致 | '贰万', '伍万'
ebc6ca91-030e-4ef7-8376-493ca27e9c90 | 违约金赔付标准如下： | ['2万', '万'], ['5万', '万'] | 不一致 | '贰万', '伍万'

fadaa11e-33c4-48e2-98f5-2bca7dff5315 | 乙方须向甲方缴纳人民 | ['40000', '肆万万'] | 不一致 | '肆万'
6335d2b8-830e-4dae-82be-0e2ce30c19f6 | 乙方须向甲方缴纳人民 | ['40000', '肆万万'] | 不一致 | '肆万'
f6007ff6-8023-4072-9e53-0b6b91491807 | 第六条  本合同项下 | ['204656', '万'] | 不一致 | '贰拾万零肆仟陆佰伍拾陆'
f6007ff6-8023-4072-9e53-0b6b91491807 | 租赁费用采取“先付后 | ['204656', '万'] | 不一致 | '贰拾万零肆仟陆佰伍拾陆'
9a119074-537c-4d10-a648-614cb1b8a795 | 第六条  本合同项下 | ['204656', '万'] | 不一致 | '贰拾万零肆仟陆佰伍拾陆'
9a119074-537c-4d10-a648-614cb1b8a795 | 租赁费用采取“先付后 | ['204656', '万'] | 不一致 | '贰拾万零肆仟陆佰伍拾陆'
7cdb47e9-b710-4faa-8eaa-518d46e5ebd4 | 第六条  本合同项下 | ['204656', '万'] | 不一致 | '贰拾万零肆仟陆佰伍拾陆'
